Stanford University,
Harvard University,
California Institute of Technology - Caltech,
Massachusetts Institute of Technology (MIT),
"University of California, Berkeley",
Yale University,
Princeton University,
University of Chicago,
Johns Hopkins University,
University of Pennsylvania,
"University of California, Los Angeles (UCLA)",
Columbia University,
Cornell University,
Duke University,
University of Michigan,
Northwestern University,
New York University,
Carnegie Mellon University,
University of Washington,
"University of California, San Diego",
Georgia Institute of Technology,
University of Texas at Austin,
University of Illinois at Urbana Champaign,
University of Wisconsin Madison,
Washington University in St. Louis,
University of Southern California,
University of North Carolina Chapel Hill,
Brown University,
"University of California, Davis",
"University of California, Santa Barbara",
The Ohio State University,
Emory University,
University of Minnesota,
University of Maryland,
Purdue University,
"University of California, Irvine (UCI)",
Dartmouth College,
Michigan State University,
Vanderbilt University,
Pennsylvania State University,
University of Virginia,
Georgetown University,
Case Western Reserve University,
Rice University,
University of Arizona,
University of Colorado at Boulder,
University of Pittsburgh,
Indiana University Bloomington,
University of Rochester,
University of Florida,
